S_i,S_t,S_x
1,        0.0037245750,256.393433
295,        0.7866569757,334.533691
537,        1.4323230982,495.864868
778,        2.0727100372,499.755859
1025,        2.7303680182,489.608765
1288,        3.4306166172,499.755859
1554,        4.1402156353,481.872559
1811,        4.8237555027,429.931641
2060,        5.4870575666,316.482544
2641,        7.0274679661,145.843506
