Seg0_Max,Seg0_Min,Seg1_Max,Seg1_Min,Seg2_Max,Seg2_Min,Seg3_Max,Seg3_Min,Integral,Period
-0.146851,-0.325012,-0.049988,-0.293335,1.419800,-0.287842,1.908875,-0.223389,0.059854,        0.7829324007
-0.217896,-4.789124,1.994019,-5.732483,2.429443,-1.662598,2.676819,-0.086609,-0.261300,        0.6456661224
0.482849,-5.356934,1.594116,-4.372192,2.660889,-0.833496,2.551025,-0.500244,-0.262067,        0.6403869390
0.467468,-4.425293,0.312012,-5.049316,2.532898,-0.992249,2.501953,-0.116821,-0.225618,        0.6576579809
0.615234,-4.046448,1.168030,-4.813843,2.606689,-0.919006,2.208252,-0.075623,-0.185784,        0.7002485991
0.773987,-5.278381,3.106934,-5.278381,3.106934,-1.096436,1.708740,-0.134949,-0.227328,        0.7095990181
0.386719,-4.877747,2.393372,-4.128296,1.532410,-0.728760,1.198059,0.000549,-0.259632,        0.6835398674
0.703674,-5.280212,0.765198,-3.213867,1.379517,-0.219360,1.020081,-0.512695,-0.313036,        0.6633020639
1.233398,-2.876953,1.048279,-0.557373,0.418213,-0.114990,0.509216,-0.610840,-0.279769,        1.5404103994
